,Lemmatized Verb,Frequency,Synset,Status
0,-1130,2,,invalid
1,-2665,1,,invalid
2,-adjusted,1,,invalid
3,-appearing,1,,invalid
4,-approved,1,,invalid
5,-associated,1,,invalid
6,-containing,1,,invalid
7,-controlled,2,,invalid
8,-deleted,1,,invalid
9,-derived,3,,invalid
10,-evaluate,1,,invalid
11,-experienced,1,,invalid
12,-farrowing,1,,invalid
13,-generated,1,,invalid
14,-identified,2,,invalid
15,-induced,2,,invalid
16,-infected,1,,invalid
17,-linked,1,,invalid
18,-listed,1,,invalid
19,-modified,1,,invalid
20,-neutralizing,1,,invalid
21,-powered,1,,invalid
22,-producing,1,,invalid
23,-redirected,1,,invalid
24,-related,4,,invalid
25,-secreting,1,,invalid
26,-transplanted,2,,invalid
27,-ve,1,,invalid
28,13ÃÂÂ17,2,,invalid
29,2019ÃÂÂassociated,1,,invalid
30,21st,2,,invalid
31,27th,1,,invalid
32,31st,2,,invalid
33,4th,2,,invalid
34,66x10,1,,invalid
35,a22,2,,invalid
36,abandon,4,['give_up' 'vacate' 'abandon' 'forsake' 'desert' 'empty' 'desolate'],valid
37,abatacept,14,,invalid
38,abate,3,['let_up' 'slake' 'die_away' 'slack' 'slack_off' 'abate'],valid
39,abbreviate,1,['contract' 'shorten' 'cut' 'foreshorten' 'abridge' 'reduce' 'abbreviate'],valid
40,abide,1,"['digest' 'stick_out' 'support' 'suffer' 'tolerate' 'bide' 'stomach'
 'stand' 'put_up' 'bear' 'brook' 'abide' 'endure' 'stay']",valid
41,ability,2,,invalid
42,ablate,1,['ablate'],valid
43,abo,1,,invalid
44,abolish,7,['abolish' 'get_rid_of'],valid
45,abort,2,['abort'],valid
46,abovementioned,1,,invalid
47,abridge,6,['contract' 'shorten' 'cut' 'foreshorten' 'abridge' 'reduce' 'abbreviate'],valid
48,abrogate,11,['abrogate'],valid
49,absence,13,,invalid
50,abstract,8,"['hook' 'pinch' 'snarf' 'sneak' 'lift' 'purloin' 'swipe' 'abstract'
 'cabbage' 'pilfer' 'filch' 'nobble']",valid
51,accelerate,66,['quicken' 'speed_up' 'accelerate' 'speed'],valid
52,accentuate,2,['emphasise' 'accent' 'punctuate' 'emphasize' 'stress' 'accentuate'],valid
53,accept,25,"['have' 'accept' 'live_with' 'consent' 'assume' 'admit' 'swallow' 'bear'
 'take' 'take_on' 'go_for' 'take_over']",valid
54,access,13,['access' 'get_at'],valid
55,accoding,1,,invalid
56,accommodate,2,"['lodge' 'oblige' 'fit' 'reconcile' 'suit' 'admit' 'hold' 'accommodate'
 'adapt' 'conciliate']",valid
57,accompany,39,"['company' 'follow' 'play_along' 'keep_company' 'accompany' 'attach_to'
 'come_with' 'go_with' 'companion']",valid
58,accomplish,1,"['fulfill' 'reach' 'attain' 'fulfil' 'execute' 'achieve' 'action'
 'carry_out' 'accomplish' 'carry_through']",valid
59,accord,332,"['concord' 'accord' 'harmonize' 'allot' 'grant' 'harmonise' 'agree'
 'consort' 'fit_in']",valid
60,account,80,['account' 'report' 'answer_for' 'calculate' 'describe'],valid
61,accredit,1,['recognise' 'accredit' 'recognize' 'credit'],valid
62,accrue,6,['accrue' 'fall'],valid
63,accumulate,34,"['compile' 'conglomerate' 'hoard' 'amass' 'pile_up' 'collect' 'gather'
 'roll_up' 'accumulate' 'cumulate']",valid
64,ache,17,['pine' 'smart' 'languish' 'suffer' 'yearn' 'hurt' 'yen' 'ache'],valid
65,achieve,281,['reach' 'accomplish' 'achieve' 'attain'],valid
66,acknowledge,12,['acknowledge' 'recognise' 'notice' 'admit' 'receipt' 'recognize' 'know'],valid
