,cluster_id,cluster_title,verb_list,actual_data_list,member_lemma
0,0,abandon,['give_up' 'vacate' 'abandon' 'forsake' 'desert' 'empty' 'desolate'],[['abandon' '4']],['abandon']
1,1,abate,['let_up' 'slake' 'die_away' 'slack' 'slack_off' 'abate'],[['abate' '3']],['abate']
2,2,contract,"['get' 'urge_on' 'peg_down' 'subscribe' 'determine' 'urge' 'limit' 'cut'
 'specialize' 'iron_out' 'delimit' 'concentrate' 'exhort' 'castrate'
 'abridge' 'advertize' 'sign' 'stipulate' 'bless' 'shorten' 'compress'
 'advertise' 'qualify' 'conjure' 'set_apart' 'signal' 'condition' 'intend'
 'narrow' 'crowd' 'condense' 'agitate' 'weightlift' 'shrink' 'constringe'
 'press_out' 'abbreviate' 'weight-lift' 'labor' 'bowdlerise' 'signalise'
 'campaign' 'fight' 'undertake' 'contract' 'iron' 'constrict' 'force'
 'sign_up' 'entreat' 'assign' 'press' 'expurgate' 'drive' 'bid' 'adjure'
 'weigh' 'speciate' 'squeeze' 'particularize' 'compact' 'bowdlerize'
 'nail_down' 'reduce' 'specify' 'labour' 'foreshorten' 'delimitate'
 'pin_down' 'fix' 'delineate' 'specialise' 'signalize' 'crusade' 'sign_on'
 'differentiate' 'ratify' 'narrow_down' 'take' 'define' 'push' 'destine'
 'designate' 'bear_on' 'set' 'tug' 'promote' 'beseech' 'particularise']","[['abbreviate' '1']
 ['abridge' '6']
 ['contract' '55']
 ['narrow' '3']
 ['press' '9']
 ['push' '2']
 ['shorten' '13']
 ['sign' '14']
 ['specialise' '2']
 ['specialize' '2']
 ['specify' '32']]","['abbreviate' 'abridge' 'contract' 'narrow' 'press' 'push' 'shorten'
 'sign' 'specialise' 'specialize' 'specify']"
3,3,induce,"['furnish' 'get' 'substantiate' 'weather' 'verbalise' 'position' 'put_out'
 'puzzle' 'air' 'get_off' 'arrive' 'baby-sit' 'consume' 'let' 'take_on'
 'purpose' 'sit_down' 'intimate' 'look' 'fend_for' 'protract' 'ravish'
 'channel' 'hold_fast' 'draw_off' 'hand_over' 'bind' 'extend' 'ask'
 'abide' 'pay_off' 'film' 'engender' 'submit' 'let_out' 'evince' 'lam'
 'move' 'bow_out' 'nonplus' 'stand_for' 'begin' 'lodge' 'compensate'
 'live_on' 'hasten' 'course' 'remain' 'give_back' 'present' 'keep'
 'seclude' 'evoke' 'untangle' 'get_down' 'bide' 'precede' 'swallow'
 'prolong' 'map' 'pass_on' 'race' 'cohere' 'campaign' 'generate' 'nurture'
 'wedge' 'declare_oneself' 'sit' 'do' 'perplex' 'sequester' 'turn_tail'
 'pull_round' 'patronise' 'necessitate' 'give' 'convey' 'dominate' 'quell'
 'crawfish_out' 'outlast' 'devolve' 'transfer' 'raise' 'head' 'impart'
 'dwell' 'claim' 'reconcile' 'be' 'represent' 'bring_back' 'draw_back'
 'demonstrate' 'play' 'appease' 'detain' 'engage' 'vex'
 '""pull_in_ones_horns""' 'be_given' 'sustain' 'rush' 'fix' 'accept'
 'strain' 'expect' 'run' 'unpick' 'operate' 'start' 'hightail_it'
 'fork_up' 'beget' 'amaze' 'offer_up' 'defend' 'lose' 'reach_out' 'state'
 'adjourn' 'set' 'melt' 'rein' 'turn_out' 'allow' 'hold_off' 'lay_out'
 'project' 'stage' 'purport' 'accede' 'ante_up' 'resist' 'enrapture'
 'hang_in' 'subscribe' 'retire' 'comport' 'induct' 'give_birth' 'lean'
 'waitress' 'cause' 'occupy' 'correspond' 'stupefy' 'birth' 'redeem'
 'fetch' 'study' 'brand' 'acquaint' 'hark_back' 'commit' 'pull_through'
 'widen' 'carry_on' 'move_back' 'hunt_down' 'stay_on' 'rule' 'channelise'
 'guide' 'take_away' 'decree' 'support' 'last_out' 'catch' 'suffer'
 'consort' 'know' 'backpack' 'produce' 'ingest' 'bring' 'jam'
 'institutionalise' 'obtain' 'fall' 'capture' 'hunt' 'place_upright'
 'deal' 'stick_by' 'involve' 'paint_a_picture' 'hint' 'open' 'exsert'
 'predominate' 'indicate' 'drive_home' 'pick_out' 'call_back' 'post'
 'set_about' 'baffle' 'render' 'run_away' 'offer' 'call_for' 'subsist'
 'mail' 'transport' 'hold_up' 'affirm' 'cede' 'unscramble' 'bring_about'
 'suggest' 'stand' 'place' 'stimulate' 'go' 'enthrall' 'die_hard'
 'fly_the_coop' 'become' 'deposit' 'stick_to' 'tamp_down' 'model' 'wad'
 'acquire' 'rest' 'make_up' 'meet' 'grow' 'spread' 'ravel_out' 'ravel'
 'cleave' 'hold_on' 'symbolise' 'conduce' 'take_to_the_woods' 'fuck_off'
 'range' 'bunk' 'yield' 'father' 'gestate' 'inhabit' 'underpin' 'commence'
 'pose' 'comprise' 'exemplify' 'unfold' 'subscribe_to' 'assume' 'take'
 'portray' 'ply' 'scat' 'give_tongue_to' 'stockpile' 'brave_out' 'make'
 'mystify' 'tend' 'sit_around' 'moderate' 'hang_on' 'refund' 'flummox'
 'expand' 'create' 'strike' 'maintain' 'acquit' 'result' 'ensue'
 'pop_the_question' 'dumbfound' 'mother' 'stomach' 'send_off' 'riposte'
 'exhibit' 'arrest' 'come_back' 'nominate' 'stay_put' 'pack' 'buzz_off'
 'function' 'fork_over' 'take_up' 'lease' 'patronize' 'draw_out'
 'pull_away' 'salute' 'posture' 'blossom_out' 'give_in' 'hold' 'charge'
 'enthral' 'govern' 'retort' 'stick' 'stretch' 'recall' 'melt_down'
 'give_rise' 'unravel' 'incur' 'outlive' 'unsay' 'hurt' 'plump_for'
 'remain_firm' 'picture' 'disengage' 'await' 'delay' 'take_in' 'lay'
 'channelize' 'flow' 'lead' 'adhere' 'come' 'demo' 'hold_out' 'put_in'
 'unknot' 'press_out' 'pull_back' 'embark' 'direct' 'prevail' 'revert'
 'last' 'stock' 'advise' 'exist' 'institutionalize' 'stick_around'
 'take_back' 'retreat' 'try' 'persevere' 'bleed' 'tell' 'come_through'
 'rejoin' 'pay' 'farm' 'personate' 'persist' 'stick_out' 'verbalize'
 'provide' 'supply' 'drive' 'live' 'enchant' 'crawfish' 'impersonate'
 'run_for' 'depict' 'tolerate' 'save' 'take_out' 'exact' 'extradite'
 'constitute' 'escape' 'gift' 'need' 'hire' 'spread_out' 'reelect' 'show'
 'head_for_the_hills' 'broaden' 'subject' 'sway' 'give_up' 'set_out'
 'take_aim' 'mob' 'start_out' 'volunteer' 'corroborate' 'put' 'regress'
 'withdraw' 'put_up' 'look_at' 'translate' 'leave' 'back_out' 'aim'
 'dribble' 'back' 'blossom' 'stay' 'poke_out' 'propose' 'feed' 'posit'
 'develop' 'ladder' 'chair' 'bewilder' 'endure' 'execute' 'pass'
 'back_away' 'stretch_out' 'ride' 'beat' 'indorse' 'digest' 'ship'
 'resign' 'transmit' 'hold_back' 'populate' 'throng' 'select' 'surrender'
 'shoot' 'proffer' 'turn_back' 'pile' 'sting' 'deliver' 'back_up'
 'consider' 'repay' 'survive' 'scram' 'ride_out' 'face' 'make_it'
 'contain' 'bow' 'retrovert' 'pitch' 'tender' 'devote' 'demand' 'learn'
 'work' 'permit' 'pay_up' 'bear' 'anticipate' 'wait' 'choose' 'fill'
 'send' 'stand_by' 'stretch_forth' 'turn_in' 'bugger_off' 'station'
 'interpret' 'get_hold_of' 'find' 'delight' 'beam' 'plunk_for' 'read'
 '""get_under_ones_skin""' 'recede' 'incline' 'extract' 'award' 'outride'
 'utter' 'nourish' 'stand_up' 'deport' 'stake' 'experience' 'rescue'
 'brook' 'wear' 'require' 'contract' 'say' 'keep_going' 'charter'
 'continue' 'send_out' 'put_forward' 'load_down' 'train' 'symbolize'
 'postulate' 'defer' 'black_market' 'reign' 'take_over' 'act' 'bid'
 'bring_forth' 'track_down' 'behave' 'return' 'rent' 'sire' 'confront'
 'harness' 'communicate' 'typify' 'bundle' 'seat' 'cover' 'pay_back'
 'carry' 'keep_up' 'bond' 'compact' 'introduce' 'express' 'call_in' 'draw'
 'relegate' 'bring_on' 'have_a_bun_in_the_oven' 'use_up' 'induce'
 'scarper' 'fork_out' 'patronage' 'triumph' 'contribute' 'fend' 'persuade'
 'gravel' 'ache' 'broadcast' 'bring_out' 'bear_out' 'remove' 'cling'
 'break_away' 'tamp' 'brave' 'conduct' 'have' 'endorse' 'sequestrate'
 'blossom_forth' 'adopt' 'gallop' 'receive' 'admit' 'confirm' 'top']","[['abide' '1']
 ['bear' '79']
 ['behave' '2']
 ['birth' '2']
 ['carry' '177']
 ['conduct' '692']
 ['convey' '5']
 ['deliver' '74']
 ['endure' '3']
 ['expect' '202']
 ['express' '213']
 ['extend' '92']
 ['get' '68']
 ['incur' '4']
 ['induce' '1439']
 ['last' '128']
 ['lead' '455']
 ['live' '272']
 ['obtain' '410']
 ['offer' '209']
 ['pack' '1']
 ['pay' '30']
 ['persist' '169']
 ['persuade' '2']
 ['populate' '2']
 ['pose' '55']
 ['post' '15']
 ['present' '568']
 ['prevail' '8']
 ['produce' '332']
 ['proffer' '1']
 ['prolong' '73']
 ['propose' '102']
 ['protract' '3']
 ['purport' '2']
 ['puzzle' '1']
 ['remain' '951']
 ['render' '10']
 ['represent' '259']
 ['rescue' '2']
 ['result' '515']
 ['return' '65']
 ['revert' '4']
 ['rule' '6']
 ['run' '29']
 ['send' '29']
 ['ship' '1']
 ['sit' '19']
 ['stand' '9']
 ['state' '14']
 ['station' '1']
 ['stay' '67']
 ['stick' '2']
 ['submit' '31']
 ['suffer' '120']
 ['suggest' '1188']
 ['support' '234']
 ['surrender' '1']
 ['survive' '37']
 ['sustain' '87']
 ['take' '359']
 ['tend' '63']
 ['tolerate' '213']
 ['transmit' '46']
 ['transport' '1']
 ['underpin' '8']
 ['unfold' '6']
 ['unravel' '3']
 ['volunteer' '5']
 ['wait' '25']
 ['weather' '1']
 ['widen' '2']
 ['withdraw' '9']]","['abide' 'bear' 'behave' 'birth' 'carry' 'conduct' 'convey' 'deliver'
 'endure' 'expect' 'express' 'extend' 'get' 'incur' 'induce' 'last' 'lead'
 'live' 'obtain' 'offer' 'pack' 'pay' 'persist' 'persuade' 'populate'
 'pose' 'post' 'present' 'prevail' 'produce' 'proffer' 'prolong' 'propose'
 'protract' 'purport' 'puzzle' 'remain' 'render' 'represent' 'rescue'
 'result' 'return' 'revert' 'rule' 'run' 'send' 'ship' 'sit' 'stand'
 'state' 'station' 'stay' 'stick' 'submit' 'suffer' 'suggest' 'support'
 'surrender' 'survive' 'sustain' 'take' 'tend' 'tolerate' 'transmit'
 'transport' 'underpin' 'unfold' 'unravel' 'volunteer' 'wait' 'weather'
 'widen' 'withdraw']"
4,4,ablate,['ablate'],[['ablate' '1']],['ablate']
5,5,abolish,['abolish' 'get_rid_of'],[['abolish' '7']],['abolish']
6,6,abort,['abort'],[['abort' '2']],['abort']
7,7,abrogate,['abrogate'],[['abrogate' '11']],['abrogate']
8,8,reverse,"['filch' 'get_up' 'wind' 'annul' 'turn_back' 'hook' 'come_up' 'plagiarise'
 'purloin' 'rear' 'snarf' 'vacate' 'overrule' 'sneak' 'override' 'lift'
 'countermand' 'uprise' 'swipe' 'rise' 'move_up' 'pilfer' 'raise'
 'plagiarize' 'change_by_reversal' 'pinch' 'arise' 'revoke' 'cabbage'
 'bring_up' 'nobble' 'overthrow' 'overturn' 'reverse' 'go_up' 'abstract'
 'repeal' 'invert' 'hoist' 'airlift' 'turn' 'rustle' 'face-lift' 'rescind'
 'elevate']","[['abstract' '8']
 ['lift' '1']
 ['reverse' '30']]",['abstract' 'lift' 'reverse']
9,9,accelerate,['quicken' 'speed_up' 'accelerate' 'speed'],[['accelerate' '66']],['accelerate']
