,Unnamed: 0,doc_id,sent_id,verb_id,verb,check_verb,main_verb,lemma_verb,cluster_title
0,0,0,0,36,was conducted,"[(9148364968459358513, 1, 2)]",conducted,conduct,induce
1,0,0,0,11,related,"[(9148364968459358513, 0, 1)]",related,relate,relate
2,1,0,1,13,were reviewed,"[(9148364968459358513, 1, 2)]",reviewed,review,review
3,1,0,1,2,including,"[(9148364968459358513, 0, 1)]",including,include,include
4,2,0,2,7,were included,"[(9148364968459358513, 1, 2)]",included,include,include
5,3,0,3,6,had,"[(9148364968459358513, 0, 1)]",had,have,
6,4,0,4,6,had been vaccinated,"[(9148364968459358513, 2, 3)]",vaccinated,vaccinate,vaccinate
7,8,0,8,12,including,"[(9148364968459358513, 0, 1)]",including,include,include
8,10,1,0,13,is following,"[(9148364968459358513, 1, 2)]",following,follow,follow
9,10,1,0,20,have received,"[(9148364968459358513, 1, 2)]",received,receive,receive
10,10,1,0,10,pass,"[(9148364968459358513, 0, 1)]",pass,pass,die
11,11,1,1,18,are associated,"[(9148364968459358513, 1, 2)]",associated,associate,associate
12,11,1,1,8,determine,"[(9148364968459358513, 0, 1)]",determine,determine,observe
13,11,1,1,26,induced,"[(9148364968459358513, 0, 1)]",induced,induce,induce
14,12,1,2,15,were tested,"[(9148364968459358513, 1, 2)]",tested,test,test
15,12,1,2,4,obtained,"[(9148364968459358513, 0, 1)]",obtained,obtain,induce
16,12,1,2,19,antibodies,"[(9148364968459358513, 0, 1)]",antibodies,antibodies,
17,12,1,2,31,binding,"[(9148364968459358513, 0, 1)]",binding,bind,bind
18,13,1,3,1,were measured using,"[(9148364968459358513, 1, 2), (9148364968459358513, 1, 3), (9148364968459358513, 2, 3)]",using,use,use
19,13,1,3,10,based,"[(9148364968459358513, 0, 1)]",based,base,base
20,14,1,4,11,have,"[(9148364968459358513, 0, 1)]",have,have,
21,14,1,4,72,dose,"[(9148364968459358513, 0, 1)]",dose,dose,dose
22,15,1,5,2,demonstrates,"[(9148364968459358513, 0, 1)]",demonstrates,demonstrate,show
23,15,1,5,36,rbd,"[(9148364968459358513, 0, 1)]",rbd,rbd,
24,16,1,6,2,will evaluate,"[(9148364968459358513, 1, 2)]",evaluate,evaluate,evaluate
25,17,1,7,4,suggest,"[(9148364968459358513, 0, 1)]",suggest,suggest,induce
26,17,1,7,13,boost,"[(9148364968459358513, 0, 1)]",boost,boost,boost
27,17,1,7,15,impede,"[(9148364968459358513, 0, 1)]",impede,impede,block
28,17,1,7,21,induced,"[(9148364968459358513, 0, 1)]",induced,induce,induce
29,18,1,8,2,will enable,"[(9148364968459358513, 1, 2)]",enable,enable,enable
30,18,1,8,17,are associated,"[(9148364968459358513, 1, 2)]",associated,associate,associate
31,18,1,8,27,induced,"[(9148364968459358513, 0, 1)]",induced,induce,induce
32,19,1,9,0,disclosures,"[(9148364968459358513, 0, 1)]",disclosures,disclosures,
33,19,1,9,23,funded,"[(9148364968459358513, 0, 1)]",funded,fund,fund
34,19,1,9,39,sponsored,"[(9148364968459358513, 0, 1)]",sponsored,sponsor,sponsor
35,19,1,9,77,funded,"[(9148364968459358513, 0, 1)]",funded,fund,fund
36,19,1,9,93,sponsored,"[(9148364968459358513, 0, 1)]",sponsored,sponsor,sponsor
37,20,2,0,7,has been developed including,"[(9148364968459358513, 2, 3), (9148364968459358513, 2, 4), (9148364968459358513, 3, 4)]",including,include,include
38,21,2,1,6,most commonly used,"[(9148364968459358513, 2, 3)]",used,use,use
39,21,2,1,10,intensively studied,"[(9148364968459358513, 1, 2)]",studied,study,test
40,22,2,2,5,have received,"[(9148364968459358513, 1, 2)]",received,receive,receive
41,22,2,2,29,lasting,"[(9148364968459358513, 0, 1)]",lasting,last,induce
42,23,2,3,36,frequently observed,"[(9148364968459358513, 1, 2)]",observed,observe,observe
43,23,2,3,15,leads,"[(9148364968459358513, 0, 1)]",leads,lead,induce
44,23,2,3,30,called,"[(9148364968459358513, 0, 1)]",called,call,promise
45,23,2,3,39,compared,"[(9148364968459358513, 0, 1)]",compared,compare,compare
46,24,2,4,2,described,"[(9148364968459358513, 0, 1)]",described,describe,describe
47,24,2,4,9,treated,"[(9148364968459358513, 0, 1)]",treated,treat,treat
48,24,2,4,30,activated,"[(9148364968459358513, 0, 1)]",activated,activate,activate
49,24,2,4,36,responds,"[(9148364968459358513, 0, 1)]",responds,respond,respond
50,25,2,5,1,overcome,"[(9148364968459358513, 0, 1)]",overcome,overcome,observe
51,25,2,5,15,assess,"[(9148364968459358513, 0, 1)]",assess,assess,evaluate
52,25,2,5,21,imaging,"[(9148364968459358513, 0, 1)]",imaging,image,aim
53,25,2,5,24,called,"[(9148364968459358513, 0, 1)]",called,call,promise
54,25,2,5,27,related,"[(9148364968459358513, 0, 1)]",related,relate,relate
55,25,2,5,34,related,"[(9148364968459358513, 0, 1)]",related,relate,relate
56,25,2,5,38,proposed,"[(9148364968459358513, 0, 1)]",proposed,propose,induce
57,26,2,6,3,involved,"[(9148364968459358513, 0, 1)]",involved,involve,need
58,26,2,6,28,confirm,"[(9148364968459358513, 0, 1)]",confirm,confirm,confirm
59,26,2,6,31,confirm,"[(9148364968459358513, 0, 1)]",confirm,confirm,confirm
60,27,2,7,4,introduced,"[(9148364968459358513, 0, 1)]",introduced,introduce,introduce
61,28,2,8,11,evaluate,"[(9148364968459358513, 0, 1)]",evaluate,evaluate,evaluate
62,29,2,9,16,are presented,"[(9148364968459358513, 1, 2)]",presented,present,induce
63,29,2,9,2,imaging,"[(9148364968459358513, 0, 1)]",imaging,image,aim
64,29,2,9,7,related,"[(9148364968459358513, 0, 1)]",related,relate,relate
65,30,3,0,14,caused,"[(9148364968459358513, 0, 1)]",caused,cause,cause
66,30,3,0,22,involving,"[(9148364968459358513, 0, 1)]",involving,involve,need
67,31,3,1,1,leads,"[(9148364968459358513, 0, 1)]",leads,lead,induce
68,32,3,2,6,had improved,"[(9148364968459358513, 1, 2)]",improved,improve,improve
69,33,3,3,7,follow,"[(9148364968459358513, 0, 1)]",follow,follow,follow
70,33,3,3,13,describe,"[(9148364968459358513, 0, 1)]",describe,describe,describe
71,33,3,3,16,predicting,"[(9148364968459358513, 0, 1)]",predicting,predict,predict
